com.samsung.shealth.activity.day_summary,6100041,1
others_time,goal,longest_idle_time,create_time,distance,run_time,step_count,walk_time,day_time,deviceuuid,active_time,score,pkg_name,update_time,longest_active_time,datauuid,extra_data,calorie
0,60,34500000,2019-03-24 07:00:00.654,2904.1597,9535,3715,2387892,1553385600000,eL5K8TBQJK,2397427,65,com.sec.android.app.shealth,2019-03-25 06:57:57.086,240000,d541700a-1ce2-488a-bcd7-81a5bfc9cc51,d541700a-1ce2-488a-bcd7-81a5bfc9cc51.extra_data.json,148.31004,
0,60,22200000,2019-03-22 07:00:00.937,4313.79,16823,5503,3550818,1553212800000,eL5K8TBQJK,3567641,98,com.sec.android.app.shealth,2019-03-23 07:06:24.774,180000,385489b0-c33a-40e3-ba32-cf9195bc25a8,385489b0-c33a-40e3-ba32-cf9195bc25a8.extra_data.json,223.73,
0,60,26760000,2019-06-13 06:00:00.748,5381.3296,83200,6637,4266012,1560384000000,eL5K8TBQJK,4349212,120,com.sec.android.app.shealth,2019-06-14 05:55:06.572,120000,62a9e2e1-cadb-430a-873a-56a6821b0fcd,62a9e2e1-cadb-430a-873a-56a6821b0fcd.extra_data.json,245.57994,
0,60,22260000,2019-02-20 07:00:00.534,3056.9202,46400,3791,2433853,1550620800000,eL5K8TBQJK,2480253,66,com.sec.android.app.shealth,2019-02-21 05:57:53.790,60000,aa3dd857-9f9c-4124-a968-3c9e6f130da1,aa3dd857-9f9c-4124-a968-3c9e6f130da1.extra_data.json,144.69002,
0,-1,-1,2019-01-10 08:19:36.641,0.0,0,0,0,1544832000000,eL5K8TBQJK,0,0,com.sec.android.app.shealth,2019-01-10 08:19:36.641,0,a29caf3e-9989-4d5a-95f4-6ff77eb74c76,a29caf3e-9989-4d5a-95f4-6ff77eb74c76.extra_data.json,0.0,
0,60,25140000,2019-09-01 05:00:01.109,8134.9307,109152,11218,7188985,1567296000000,eL5K8TBQJK,7298137,200,com.sec.android.app.shealth,2019-09-02 07:55:47.130,1293840,2f648961-d4bb-44d3-84e8-6a3321f70cd7,2f648961-d4bb-44d3-84e8-6a3321f70cd7.extra_data.json,397.69562,
0,60,17700000,2019-09-12 06:33:57.672,8079.4565,129118,9973,6210976,1568246400000,eL5K8TBQJK,6340094,175,com.sec.android.app.shealth,2019-09-13 05:35:28.634,360000,91cd45c4-82a4-4575-9074-f3daabf497de,91cd45c4-82a4-4575-9074-f3daabf497de.extra_data.json,394.7599,
0,60,21240000,2019-01-20 07:00:00.415,6047.2803,151358,6781,4164232,1547942400000,eL5K8TBQJK,4315590,118,com.sec.android.app.shealth,2019-01-21 05:45:53.793,420000,2ca080e2-5203-414e-9e00-49c9f88688fd,2ca080e2-5203-414e-9e00-49c9f88688fd.extra_data.json,298.48996,
0,60,19800000,2019-07-25 05:04:57.009,12560.712,34352,17926,12012010,1564012800000,eL5K8TBQJK,12046362,333,com.sec.android.app.shealth,2019-07-26 07:36:22.898,1312850,4ee53324-c761-41f2-9a15-3838e93796cb,4ee53324-c761-41f2-9a15-3838e93796cb.extra_data.json,591.21564,
0,-1,-1,2019-01-10 08:19:36.786,0.0,0,0,0,1545091200000,eL5K8TBQJK,0,0,com.sec.android.app.shealth,2019-01-10 08:19:36.786,0,557e098d-89b0-4cce-9dab-00578eca02b4,557e098d-89b0-4cce-9dab-00578eca02b4.extra_data.json,0.0,
