com.samsung.shealth.step_daily_trend,6100041,6
create_time,distance,count,source_type,day_time,speed,deviceuuid,pkg_name,update_time,binning_data,datauuid,calorie,source_pkg_name
2020-01-14 22:11:17.230,3981.66,4990,0,1555027200000,6.6827083,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.230,1e5b6dd5-c7e8-4893-ad12-481e5b21b351.binning_data.json,1e5b6dd5-c7e8-4893-ad12-481e5b21b351,190.98,com.sec.android.app.shealth,
2020-01-14 22:11:17.213,1991.39,2522,0,1551830400000,6.9444447,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.213,f6d11a86-8ef9-4955-b10a-5ac9bc9ada1e.binning_data.json,f6d11a86-8ef9-4955-b10a-5ac9bc9ada1e,96.619995,com.sec.android.app.shealth,
2020-01-14 22:11:17.180,6047.28,6781,0,1547942400000,6.9444447,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.180,18e0be91-d9e9-43af-8577-5d406bddaeb0.binning_data.json,18e0be91-d9e9-43af-8577-5d406bddaeb0,298.49,com.sec.android.app.shealth,
2020-01-14 22:11:17.212,3508.05,4480,0,1551744000000,5.138889,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.212,6e8a4bc0-6b96-4293-8ff6-03a4e67b47b0.binning_data.json,6e8a4bc0-6b96-4293-8ff6-03a4e67b47b0,170.23999,com.sec.android.app.shealth,
2020-01-14 22:11:17.216,2029.02,2560,0,1552348800000,6.9444447,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.216,6a8423f9-e810-446d-8bc4-675a14d438cd.binning_data.json,6a8423f9-e810-446d-8bc4-675a14d438cd,97.939995,com.sec.android.app.shealth,
2020-01-14 22:11:17.233,4775.6,6065,0,1555545600000,4.08198,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.233,44dd392b-4d83-4174-a425-9ea063b0fc6b.binning_data.json,44dd392b-4d83-4174-a425-9ea063b0fc6b,228.62999,com.sec.android.app.shealth,
2020-01-14 22:11:17.211,7015.35,8380,0,1551484800000,6.944445,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.211,903d6463-d15a-4da6-8c0a-047f1873b784.binning_data.json,903d6463-d15a-4da6-8c0a-047f1873b784,340.43,com.sec.android.app.shealth,
2020-01-14 22:11:17.219,2747.19,3437,0,1552867200000,5.5555544,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.219,8cabcf05-039b-4cbc-a9e9-8efb70f9e177.binning_data.json,8cabcf05-039b-4cbc-a9e9-8efb70f9e177,129.06,com.sec.android.app.shealth,
2020-01-14 22:11:17.182,3369.12,4190,0,1548460800000,3.4722223,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.182,7a1bd63b-5025-407b-b8d0-242e7a588907.binning_data.json,7a1bd63b-5025-407b-b8d0-242e7a588907,156.2,com.sec.android.app.shealth,
2020-01-14 22:11:17.187,4531.13,5652,0,1548979200000,6.9444447,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.187,afff0255-f82a-4151-9d4f-d242e3d7a31c.binning_data.json,afff0255-f82a-4151-9d4f-d242e3d7a31c,215.34,com.sec.android.app.shealth,
