com.samsung.shealth.sleep,6100041,2
efficiency,extra_data,original_efficiency,original_bed_time,has_sleep_data,original_wake_up_time,quality,com.samsung.health.sleep.start_time,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.datauuid,com.samsung.health.sleep.custom,com.samsung.health.sleep.end_time,com.samsung.health.sleep.comment,com.samsung.health.sleep.deviceuuid
93.0,d94f2aef-d78e-824e-5025-5f44d0c3b8ec.extra_data.json,,,0,,,1577599740000,com.sec.android.app.shealth,1577618972524,1577618972524,UTC-0600,d94f2aef-d78e-824e-5025-5f44d0c3b8ec,,1577618700000,,hytsFLPcD3,
82.0,2b0cbe5b-9d55-08a0-4455-6f5176249b80.extra_data.json,,,0,,,1565589480000,com.sec.android.app.shealth,1565608167533,1565608167533,UTC-0400,2b0cbe5b-9d55-08a0-4455-6f5176249b80,,1565607720000,,hytsFLPcD3,
89.0,2a874ee0-a1a9-3621-d777-1d6ddddf2bdf.extra_data.json,,,0,,,1566373440000,com.sec.android.app.shealth,1566389881017,1566389881017,UTC-0400,2a874ee0-a1a9-3621-d777-1d6ddddf2bdf,,1566389520000,,hytsFLPcD3,
87.0,203d32b0-f9c8-03ee-1395-482e593c5cb3.extra_data.json,,,0,,,1570860240000,com.sec.android.app.shealth,1570889626622,1570889626622,UTC-0400,203d32b0-f9c8-03ee-1395-482e593c5cb3,,1570888620000,,hytsFLPcD3,
0.0,,,,,,0,1555131600000,com.sec.android.app.shealth,1555178643842,1555178643842,UTC-0500,f9503acf-3517-40ab-ac40-a73453b4dcf8,,1555178400000,,eL5K8TBQJK,
91.0,04732f9f-0ef9-ffe8-cca5-f7f820d05e0e.extra_data.json,,,0,,,1567059900000,com.sec.android.app.shealth,1567077974985,1567077974985,UTC-0400,04732f9f-0ef9-ffe8-cca5-f7f820d05e0e,,1567077840000,,hytsFLPcD3,
86.0,4197d328-e6a4-3142-04cc-c45b703523ad.extra_data.json,,,0,,,1565854920000,com.sec.android.app.shealth,1565867615578,1565867615578,UTC-0400,4197d328-e6a4-3142-04cc-c45b703523ad,,1565867280000,,hytsFLPcD3,
91.0,39164eb4-ab50-9e28-19a3-81a33e67653a.extra_data.json,,,0,,,1578998520000,com.sec.android.app.shealth,1579011590855,1579011590855,UTC-0500,39164eb4-ab50-9e28-19a3-81a33e67653a,,1579011300000,,hytsFLPcD3,
88.0,3a621659-10c3-8dd4-0d81-7f52c05921a4.extra_data.json,,,0,,,1564215720000,com.sec.android.app.shealth,1564230996298,1564230996298,UTC-0400,3a621659-10c3-8dd4-0d81-7f52c05921a4,,1564230780000,,hytsFLPcD3,
88.0,635a6fdc-eaf0-fe01-33ad-5a01efa7476c.extra_data.json,,,0,,,1565162820000,com.sec.android.app.shealth,1565190423798,1565190423798,UTC-0400,635a6fdc-eaf0-fe01-33ad-5a01efa7476c,,1565190360000,,hytsFLPcD3,
0.0,,,,,,50004,1554789600000,com.sec.android.app.shealth,1554822171989,1554822171989,UTC-0400,79bf4b4e-26b9-4421-8fb7-cdfb6fbaab28,,1554820800000,,eL5K8TBQJK,
