com.samsung.shealth.tracker.pedometer_step_count,6100041,2
duration,run_step,version_code,walk_step,com.samsung.health.step_count.create_time,com.samsung.health.step_count.distance,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.custom,com.samsung.health.step_count.count,com.samsung.health.step_count.end_time,com.samsung.health.step_count.speed,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.start_time,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.update_time,com.samsung.health.step_count.datauuid,com.samsung.health.step_count.calorie,com.samsung.health.step_count.sample_position_type
16875,0,4,28,1589549066940,20.76,UTC-0500,,28,1589549100000,1.2301781,jpgso+yMpj,1589549040000,com.sec.android.app.shealth,1589549072550,66975d6a-73ca-45a4-933b-06b8e2b49a0b,1.0300001,,
9548,0,4,14,1589555122923,10.040001,UTC-0500,,14,1589555160000,1.0514796,jpgso+yMpj,1589555100000,com.sec.android.app.shealth,1589555124364,8b4f1f06-7b6e-444b-849e-9e146e6f6ed6,0.48,,
3315,0,4,6,1589556869575,4.42,UTC-0500,,6,1589556900000,1.3333334,jpgso+yMpj,1589556840000,com.sec.android.app.shealth,1589556869575,b376acf1-3e0e-4fd9-b472-4a014fa9558a,0.22,,
10652,0,4,23,1589554994099,21.35,UTC-0500,,25,1589555039999,2.0042055,hytsFLPcD3,1589554980000,com.sec.android.app.shealth,1589555008340,62320ed8-7e1a-0cec-68a2-2387f20aab36,0.96,230002,
6906,0,4,15,1589555988434,12.47,UTC-0500,,15,1589555999999,1.8055556,hytsFLPcD3,1589555940000,com.sec.android.app.shealth,1589555988434,7d715c27-8521-4e65-5a40-dd19922a403b,0.49,230002,
8130,10,4,12,1589564021091,20.389,UTC-0500,,22,1589564039999,2.5076623,hytsFLPcD3,1589563980000,com.sec.android.app.shealth,1589564022468,de7b4fac-02c6-f940-d12b-0c650ff6d069,1.13,230002,
16421,0,4,38,1589574982418,31.93,UTC-0500,,38,1589574960000,1.9444444,jpgso+yMpj,1589574900000,com.sec.android.app.shealth,1589574982418,a7d79caf-78d4-4e91-a4c9-c36e887a83a7,1.21,,
4211,0,4,10,1589575407349,5.03,UTC-0500,,8,1589575439999,1.1944444,hytsFLPcD3,1589575380000,com.sec.android.app.shealth,1589575407350,e6194bb9-4fc0-a917-e35e-ff2e8cfb97ff,0.26,230002,
20258,0,4,27,1589578409200,25.5,UTC-0500,,35,1589578439999,1.2587107,hytsFLPcD3,1589578380000,com.sec.android.app.shealth,1589578410034,2453148d-d10a-b89b-5d8e-17ab9ae5e2b3,1.08,230002,
2020,0,4,7,1589582331373,5.5,UTC-0500,,7,1589582280000,2.7222223,jpgso+yMpj,1589582220000,com.sec.android.app.shealth,1589582331373,e29a6498-4852-47cf-bd34-b5fa27547ed6,0.26,,
14441,0,4,13,1589585199758,18.930002,UTC-0500,,31,1589585220000,1.3107992,jpgso+yMpj,1589585160000,com.sec.android.app.shealth,1589585213105,14afefaa-e256-47ce-bb95-326a95a11ef8,1.1600001,,
6732,0,4,12,1589580001019,8.79,UTC-0500,,12,1589579999999,1.3055556,hytsFLPcD3,1589579940000,com.sec.android.app.shealth,1589580001019,398ec34f-24f6-c983-9563-8824ab144688,0.45,230002,
5695,0,4,12,1589583601300,9.681,UTC-0500,,12,1589583659999,1.6996558,hytsFLPcD3,1589583600000,com.sec.android.app.shealth,1589583703591,9e935898-b778-5057-b806-230c44a37bda,0.4,230002,
14310,0,4,34,1589585288535,20.67,UTC-0500,,34,1589585219999,1.4444444,hytsFLPcD3,1589585160000,com.sec.android.app.shealth,1589585288535,0891fa11-288e-1c88-4d55-a8ed73ecaec3,1.13,230002,
12744,0,4,19,1589592870999,14.15,UTC-0500,,19,1589592900000,1.1102947,jpgso+yMpj,1589592840000,com.sec.android.app.shealth,1589592891661,0c66ac3a-bd04-41bf-a5d7-846fe76736c6,0.67999995,,
4725,0,4,11,1589593440703,4.2,UTC-0500,,6,1589593500000,0.88888884,jpgso+yMpj,1589593440000,com.sec.android.app.shealth,1589593446795,c90c97de-3dca-433a-a671-8c8d0ec31bff,0.23999998,,
16780,0,4,27,1589598937548,19.63,UTC-0500,,27,1589598960000,1.1698028,jpgso+yMpj,1589598900000,com.sec.android.app.shealth,1589598945486,f435e9b0-c2e6-46ea-9b2b-15ea4ab34d41,1.0300002,,
20473,0,4,30,1589593276612,21.09,UTC-0500,,30,1589593319999,1.0300964,hytsFLPcD3,1589593260000,com.sec.android.app.shealth,1589593319351,994241c2-4b24-019b-08c8-9a29aae972b0,1.1,230002,
8535,0,4,11,1589596618529,7.35,UTC-0500,,11,1589596619999,0.8611111,hytsFLPcD3,1589596560000,com.sec.android.app.shealth,1589596618529,0dad1f2b-1687-036d-539a-ff1a8c13b361,0.46,230002,
6311,0,4,8,1589601166834,5.61,UTC-0500,,8,1589601180000,0.8888889,jpgso+yMpj,1589601120000,com.sec.android.app.shealth,1589601166834,219c916b-b967-4626-81cb-1cbe84ca812c,0.3,,
10377,0,4,16,1589602445170,11.53,UTC-0500,,16,1589602320000,1.1111112,jpgso+yMpj,1589602260000,com.sec.android.app.shealth,1589602445170,8af4d944-ff47-4456-ab2a-e306c582778e,0.62,,
22377,0,4,41,1589606094208,31.08,UTC-0500,,41,1589605920000,1.3888888,jpgso+yMpj,1589605860000,com.sec.android.app.shealth,1589606094208,757cccbd-462b-4aec-87e2-1bbb585da69b,1.51,,
10191,0,4,21,1589607309162,15.57,UTC-0500,,21,1589607179999,1.5277778,hytsFLPcD3,1589607120000,com.sec.android.app.shealth,1589607309162,6f003e3a-1bdf-088b-d0b5-fee8ebce86e3,0.78,230002,
9695,0,4,17,1589645963185,12.849999,UTC-0500,,17,1589646000000,1.3253399,jpgso+yMpj,1589645940000,com.sec.android.app.shealth,1589645975702,1c08c63c-0b1d-46f6-bac2-0b447ec9cb0a,0.60999995,,
22662,0,4,22,1589653261401,25.18,UTC-0500,,37,1589653260000,1.1111112,jpgso+yMpj,1589653200000,com.sec.android.app.shealth,1589653261401,8fa97ba8-c232-4707-8608-870f906798b1,1.45,,
9538,0,4,13,1589657794983,9.27,UTC-0500,,13,1589657820000,0.9718314,jpgso+yMpj,1589657760000,com.sec.android.app.shealth,1589657800314,bdf4676e-3f0b-45a6-8a79-da1d51018fb4,0.49999994,,
17850,0,4,22,1589660107729,21.690002,UTC-0500,,31,1589660160000,1.215097,jpgso+yMpj,1589660100000,com.sec.android.app.shealth,1589660120525,b1a56917-ac48-48db-b15e-70690b742ab3,1.1200002,,
