com.samsung.shealth.activity.goal,6100041,1
pkg_name,update_time,create_time,time_offset,datauuid,set_time,value,deviceuuid
com.sec.android.app.shealth,2019-06-26 20:43:22.059,2019-06-26 20:43:22.059,UTC-0500,839aa96e-231b-4630-91d3-49d81b72f920,1561581802052,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-07-07 06:22:22.062,2019-07-07 06:22:22.062,UTC-0500,db52ce9d-647e-478f-bc0d-aeb0f2c14b1a,1562480542056,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 20:58:28.306,2019-06-26 20:58:28.306,UTC-0600,7962dc17-7f47-4e50-9f68-1283d4ea9d42,1561582708304,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 23:16:15.261,2019-06-26 23:16:15.261,UTC-0600,8e43cd2b-410a-4efe-8a48-70c0246c38c8,1561590975257,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-27 01:25:29.315,2019-06-27 01:25:29.315,UTC-0500,1425d2c7-e0ae-4e1b-a6ea-38860be41bf8,1561598729309,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-27 03:29:13.428,2019-06-27 03:29:13.428,UTC-0500,86d0a9d5-5b46-4d69-9023-7ad85e250047,1561606153419,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 23:31:37.760,2019-06-26 23:31:37.760,UTC-0500,2740692e-b0bf-4e88-babe-daebaae0a6c8,1561591897758,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 23:15:27.642,2019-06-26 23:15:27.642,UTC-0600,c318f8fe-6a00-49a0-bafb-67d7a15dcb9a,1561590927641,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 18:16:12.082,2019-06-26 18:16:12.082,UTC-0600,125b8325-e060-4ce7-93de-1d03b8856137,1561572972080,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 19:48:00.836,2019-06-26 19:48:00.836,UTC-0500,8745c005-2da5-4932-82e9-8d5481532e9d,1561578480834,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-27 04:31:37.271,2019-06-27 04:31:37.271,UTC-0600,72db6429-672a-40c0-b6fd-010d60d8d5ab,1561609897267,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 20:42:45.240,2019-06-26 20:42:45.240,UTC-0500,1b60daa9-8c6f-4ea2-b446-e30db10f6713,1561581765233,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 19:55:42.243,2019-06-26 19:55:42.243,UTC-0600,fb1b7d78-6306-40b2-9506-d8d3a45bafc9,1561578942240,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-27 04:31:10.660,2019-06-27 04:31:10.660,UTC-0600,c892e228-83c0-41f9-8ddf-5f31cff3b946,1561609870655,60,eL5K8TBQJK,
com.sec.android.app.shealth,2020-03-19 13:15:53.594,2020-03-19 13:15:53.594,UTC-0600,f1d37abf-e467-4d94-8d46-f581694456a1,1584623753586,60,jpgso+yMpj,
com.sec.android.app.shealth,2019-06-27 03:28:32.787,2019-06-27 03:28:32.787,UTC-0600,fa5a1d07-dc65-4a3a-a9d6-97f5f0e25194,1561606112785,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-27 01:20:40.290,2019-06-27 01:20:40.290,UTC-0600,febd97d7-5e86-4d28-994d-d422353fd08a,1561598440287,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-27 04:30:49.356,2019-06-27 04:30:49.356,UTC-0600,992f83b0-4f0e-498b-8e34-cd7463211fe7,1561609849355,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 22:23:46.347,2019-06-26 22:23:46.347,UTC-0600,1abaf61a-5644-4acc-83f1-ab8932565a3e,1561587826343,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-07-04 22:31:15.838,2019-07-04 22:31:15.838,UTC-0400,09007caf-682b-442a-91aa-f861533d1c7c,1562279475835,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 22:40:05.132,2019-06-26 22:40:05.132,UTC-0500,e6dd5c77-f8ea-4b1b-9805-de545260c93d,1561588805130,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-07-04 22:25:19.183,2019-07-04 22:25:19.183,UTC-0500,a73743f9-71a2-4b00-8659-2f0a0165a2da,1562279119179,60,eL5K8TBQJK,
