com.samsung.shealth.stand_day_summary,6100041,1
pkg_name,update_time,stand_time,create_time,datauuid,day_time,deviceuuid
com.sec.android.app.shealth,2020-02-03 01:30:23.286,262146,2020-02-02 07:00:06.366,7b84c97e-c765-801a-a908-9273b73f2d68,1580601600000,hytsFLPcD3,
com.sec.android.app.shealth,2019-12-24 23:59:43.562,69632,2019-12-24 07:00:27.917,cb4038c8-bf62-2328-57ee-735557a47257,1577145600000,hytsFLPcD3,
com.sec.android.app.shealth,2020-02-09 05:50:22.487,8392708,2020-02-08 06:00:03.377,09d7471d-9ac5-f08b-183c-a659dd91d04b,1581120000000,hytsFLPcD3,
com.sec.android.app.shealth,2019-09-26 17:32:43.558,4352,2019-09-26 05:00:04.897,2477e5f4-9683-7c24-1c30-260d096f7416,1569456000000,hytsFLPcD3,
com.sec.android.app.shealth,2020-02-15 05:25:17.122,8729344,2020-02-14 06:00:14.086,cdf87b36-e6c4-ba99-8f8e-9334955d3347,1581638400000,hytsFLPcD3,
com.sec.android.app.shealth,2019-10-20 03:57:05.252,4456960,2019-10-19 05:00:17.905,01a9ebfa-645f-de64-1c5b-14a01b936ddd,1571443200000,hytsFLPcD3,
com.sec.android.app.shealth,2020-02-21 01:20:28.457,599296,2020-02-20 06:00:04.820,41cd3275-e8f4-6e6e-40eb-47cb859abb81,1582156800000,hytsFLPcD3,
com.sec.android.app.shealth,2020-02-27 05:45:05.332,8530688,2020-02-26 06:00:10.906,26e5241d-e560-0bb1-d96e-81858431a18d,1582675200000,hytsFLPcD3,
com.sec.android.app.shealth,2020-03-03 23:35:17.361,169216,2020-03-03 06:00:14.383,78be0be4-7b65-d741-7054-edcafdf98207,1583193600000,hytsFLPcD3,
com.sec.android.app.shealth,2019-08-07 01:27:41.924,1052674,2019-08-06 05:00:16.906,75c4022b-4505-7616-72bd-a3b1bd5f1ed9,1565049600000,hytsFLPcD3,
com.sec.android.app.shealth,2020-03-10 02:09:33.284,1379072,2020-03-09 06:00:04.529,95d4a1c3-c966-d200-4c6b-8a72b665cc23,1583712000000,hytsFLPcD3,
com.sec.android.app.shealth,2019-10-11 03:00:22.301,4718593,2019-10-10 05:00:06.753,fdd297f4-5578-8c43-6527-078042f30b36,1570665600000,hytsFLPcD3,
com.sec.android.app.shealth,2020-03-16 01:34:53.336,528384,2020-03-15 06:00:14.020,dafb3ac3-1015-9ece-4d03-3fa25a755c66,1584230400000,hytsFLPcD3,
com.sec.android.app.shealth,2020-03-21 07:00:14.652,0,2020-03-21 07:00:14.652,3aea5ef9-9ce3-c32c-bca9-32cd64cfdd51,1584748800000,hytsFLPcD3,
com.sec.android.app.shealth,2019-12-23 00:09:44.285,139264,2019-12-22 07:04:22.022,1a8d0181-a7cf-4b24-86bd-955e825fd178,1576972800000,hytsFLPcD3,
com.sec.android.app.shealth,2020-03-28 04:34:45.228,3579904,2020-03-27 07:00:09.986,942423f9-6906-5f3e-1857-991b579de0ba,1585267200000,hytsFLPcD3,
com.sec.android.app.shealth,2020-04-03 04:31:55.325,2785280,2020-04-02 07:00:06.309,6d5024f2-e738-1eaa-e35a-777836f3394d,1585785600000,hytsFLPcD3,
