com.samsung.shealth.stress,6100041,7
create_time,time_offset,max,custom,end_time,deviceuuid,start_time,score,pkg_name,update_time,min,binning_data,datauuid,tag_id,comment,algorithm
2019-08-15 21:01:00.579,UTC-0400,100.0,,2019-08-15 20:59:59.999,hytsFLPcD3,2019-08-15 20:00:00.000,44.0,com.sec.android.app.shealth,2019-08-15 21:01:00.579,0.0,4dc7c449-e1c1-0000-ff77-859daf1e30e1.binning_data.json,4dc7c449-e1c1-0000-ff77-859daf1e30e1,10011,,1,
2019-07-28 01:54:19.441,UTC-0400,100.0,,2019-07-28 01:59:59.999,hytsFLPcD3,2019-07-28 01:00:00.000,34.0,com.sec.android.app.shealth,2019-07-28 02:02:05.619,2.0,b75d17e0-2285-443a-089c-537ab21fd088.binning_data.json,b75d17e0-2285-443a-089c-537ab21fd088,10011,,1,
2019-08-01 23:02:09.709,UTC-0400,100.0,,2019-08-01 22:59:59.999,hytsFLPcD3,2019-08-01 22:00:00.000,54.0,com.sec.android.app.shealth,2019-08-01 23:02:09.709,0.0,8ec4ba86-d156-2695-8418-e4940eb9acff.binning_data.json,8ec4ba86-d156-2695-8418-e4940eb9acff,10011,,1,
2019-08-13 19:01:43.615,UTC-0400,100.0,,2019-08-13 18:59:59.999,hytsFLPcD3,2019-08-13 18:00:00.000,37.0,com.sec.android.app.shealth,2019-08-13 19:01:43.615,0.0,87cb5e6d-b267-0691-b772-c34613346a8c.binning_data.json,87cb5e6d-b267-0691-b772-c34613346a8c,10011,,1,
2019-08-16 18:01:23.674,UTC-0400,100.0,,2019-08-16 17:59:59.999,hytsFLPcD3,2019-08-16 17:00:00.000,48.0,com.sec.android.app.shealth,2019-08-16 18:01:23.674,0.0,57be3aa0-104d-a126-dfa0-c61e7cba84e6.binning_data.json,57be3aa0-104d-a126-dfa0-c61e7cba84e6,10011,,1,
2019-08-17 18:42:32.594,UTC-0400,100.0,,2019-08-17 18:59:59.999,hytsFLPcD3,2019-08-17 18:00:00.000,58.0,com.sec.android.app.shealth,2019-08-17 19:08:26.964,0.0,0d214a00-1a82-b966-bf4e-66a03683ab24.binning_data.json,0d214a00-1a82-b966-bf4e-66a03683ab24,10011,,1,
2019-08-22 03:01:59.382,UTC-0400,2.0,,2019-08-22 02:59:59.999,hytsFLPcD3,2019-08-22 02:00:00.000,0.0,com.sec.android.app.shealth,2019-08-22 03:01:59.382,0.0,f27029bc-7dda-b112-33dd-b606603458b6.binning_data.json,f27029bc-7dda-b112-33dd-b606603458b6,10011,,1,
2019-08-12 01:06:32.928,UTC-0400,100.0,,2019-08-12 00:59:59.999,hytsFLPcD3,2019-08-12 00:00:00.000,26.0,com.sec.android.app.shealth,2019-08-12 01:06:32.928,0.0,cf5b51a5-75d2-1b3f-d194-c1399500609e.binning_data.json,cf5b51a5-75d2-1b3f-d194-c1399500609e,10011,,1,
2019-08-12 21:01:00.615,UTC-0400,100.0,,2019-08-12 20:59:59.999,hytsFLPcD3,2019-08-12 20:00:00.000,56.0,com.sec.android.app.shealth,2019-08-12 21:01:00.615,0.0,b328c0a8-8760-6ef1-3b7c-9df93b612e40.binning_data.json,b328c0a8-8760-6ef1-3b7c-9df93b612e40,10011,,1,
2019-07-23 11:03:21.455,UTC-0500,100.0,,2019-07-23 10:59:59.999,hytsFLPcD3,2019-07-23 10:00:00.000,12.0,com.sec.android.app.shealth,2019-07-23 11:03:21.455,0.0,4ef840db-66d7-0bd6-1f8a-b4821d6a3f10.binning_data.json,4ef840db-66d7-0bd6-1f8a-b4821d6a3f10,10011,,1,
