com.samsung.shealth.exercise.weather,6100041,3
sunset_time,exercise_id,latitude,temperature_scale,type,deviceuuid,update_time,uv_index,icon_info_id,datauuid,sundown_time,content_provider,temperature,humidity,wind_speed,longitude,create_time,time_offset,wind_speed_unit,custom,wind_direction,start_time,pkg_name,phrase,forecast_time
,eeb717da-4847-7815-86a2-375ed96781ca,19.344343,1,0,hytsFLPcD3,2019-10-01 15:18:53.010,2.0,2,49daa013-0479-abfa-6aa0-20b42c4fc0c3,,TWC,16.0,77,,-99.191635,2019-10-01 15:18:53.010,UTC+0100,,,,2019-10-01 14:24:12.120,com.sec.android.app.shealth,Parcialmente nublado,,
,455e068d-21b4-f283-c687-97e4d381a514,19.341642,1,0,hytsFLPcD3,2019-11-15 01:37:38.342,0.0,5,1698dc37-f9d2-6a9f-8459-c0c2418ffba0,,TWC,16.0,66,,-99.199455,2019-11-15 01:37:38.342,UTC+0100,,,,2019-11-15 01:22:25.790,com.sec.android.app.shealth,Lluvia,,
0,04a5fd33-cbdc-489f-a40c-6edba1833b2f,24.841497,1,1,eL5K8TBQJK,2019-05-16 13:56:35.859,,1,bb8cee68-39b2-4152-b781-412bb932ad64,0,TWC,19.0,74,5.0,-107.361046,2019-05-16 13:56:35.859,UTC-0500,km/h,,ENE. 70,2019-05-16 13:56:35.856,com.sec.android.app.shealth,Soleado,0,
,97d06cca-9408-48ef-7f8b-36da0e5ece2c,19.34479,1,0,hytsFLPcD3,2019-11-09 23:15:35.333,0.0,3,1d7ba1ba-4c4c-a1a4-5791-51f1e8b18342,,TWC,22.0,40,,-99.19271,2019-11-09 23:15:35.333,UTC+0100,,,,2019-11-09 23:03:23.910,com.sec.android.app.shealth,Mayormente nublado,,
0,7893b35d-f278-4b0d-b64e-11d1b93c5bca,19.341316,1,1,eL5K8TBQJK,2019-06-03 21:14:39.313,,3,7c500ce9-dbae-4ea3-920d-3e27c88d3c65,0,TWC,23.0,50,8.0,-99.19596,2019-06-03 21:14:39.313,UTC-0400,km/h,,N. 0,2019-06-03 21:14:39.305,com.sec.android.app.shealth,Nublado,0,
,57af4792-4e5e-d48c-ce19-2c7d373ee6cd,19.34389,1,0,hytsFLPcD3,2019-12-01 20:41:40.361,4.0,2,d3aff848-b472-f5ca-7f73-320ee39897c6,,TWC,24.0,24,,-99.196945,2019-12-01 20:41:40.361,UTC+0100,,,,2019-12-01 20:22:53.000,com.sec.android.app.shealth,Parcialmente nublado,,
,462a1a8a-5172-b6b2-c15f-307be8308dd5,19.342043,1,0,hytsFLPcD3,2019-09-03 01:42:27.176,0.0,19,b3e1284e-efb2-0fec-f5ce-2f7f7fa2644f,,TWC,18.0,46,,-99.199394,2019-09-03 01:42:27.176,UTC+0100,,,,2019-09-03 01:25:08.510,com.sec.android.app.shealth,Parcialmente nublado,,
,2f5cf87c-0c12-b35e-b2aa-773b06e226c9,19.338144,1,0,hytsFLPcD3,2019-10-19 04:09:21.450,0.0,19,389e0620-e2dc-70fd-439f-d3aa3865d331,,TWC,17.0,75,,-99.19966,2019-10-19 04:09:21.450,UTC+0100,,,,2019-10-19 03:52:59.290,com.sec.android.app.shealth,Parcialmente nublado,,
,3a7cb8ef-9642-02d3-5c84-f864bc8b05a0,19.349287,1,0,hytsFLPcD3,2020-01-14 00:44:58.206,0.0,18,21b0b052-57d6-94a0-350e-8a5ea4b094c3,,TWC,21.0,50,,-99.19737,2020-01-14 00:44:58.206,UTC+0100,,,,2020-01-14 00:14:10.560,com.sec.android.app.shealth,Soleado,,
,2562ae16-bd72-56c8-678f-c1fa49c3554c,19.341698,1,0,hytsFLPcD3,2019-11-07 02:43:22.009,0.0,19,8be4ca0f-c58c-80b2-ab48-4340fd03ef45,,TWC,16.0,68,,-99.19949,2019-11-07 02:43:22.009,UTC+0100,,,,2019-11-07 02:31:32.570,com.sec.android.app.shealth,Parcialmente nublado,,
,06cf440d-9c8d-b4cf-c811-64f5aee189d0,19.336916,1,0,hytsFLPcD3,2019-10-19 03:11:15.815,0.0,3,e3bd9683-2415-a514-40a7-695b8d2a74ca,,TWC,16.0,75,,-99.20206,2019-10-19 03:11:15.815,UTC+0100,,,,2019-10-19 02:53:20.860,com.sec.android.app.shealth,Mayormente nublado,,
,2d1b9f2f-f4a4-5aad-9f45-f34957f27e43,19.34065,1,0,hytsFLPcD3,2019-10-10 01:17:47.584,0.0,3,f6a37e92-b00d-86ee-6d0e-66ef7630e90b,,TWC,19.0,63,,-99.1995,2019-10-10 01:17:47.584,UTC+0100,,,,2019-10-10 01:00:51.660,com.sec.android.app.shealth,Mayormente nublado,,
,84ce878c-b383-6a24-92e7-a442ea7dfb6b,19.342104,1,0,hytsFLPcD3,2019-09-08 20:06:26.499,11.0,1,2e36c9c4-f500-56cb-a5c4-5bac4133275e,,TWC,22.0,41,,-99.195465,2019-09-08 20:06:26.499,UTC+0100,,,,2019-09-08 19:50:31.030,com.sec.android.app.shealth,Soleado,,
